"power" "noise" "d_type" "method"
0.208 25 "x^(1/4)" "cor"
0.136 26 "x^(1/4)" "cor"
0.162 27 "x^(1/4)" "cor"
0.172 28 "x^(1/4)" "cor"
0.152 29 "x^(1/4)" "cor"
0.132 30 "x^(1/4)" "cor"
0.004 1 "circle" "cor"
0.026 2 "circle" "cor"
0.024 3 "circle" "cor"
0.006 4 "circle" "cor"
0.016 5 "circle" "cor"
0.02 6 "circle" "cor"
0.016 7 "circle" "cor"
0.02 8 "circle" "cor"
0.008 9 "circle" "cor"
0.022 10 "circle" "cor"
0.014 11 "circle" "cor"
0.012 12 "circle" "cor"
0.012 13 "circle" "cor"
0.018 14 "circle" "cor"
0.02 15 "circle" "cor"
0.008 16 "circle" "cor"
0.02 17 "circle" "cor"
0.008 18 "circle" "cor"
0.026 19 "circle" "cor"
0.028 20 "circle" "cor"
0.024 21 "circle" "cor"
0.018 22 "circle" "cor"
0.046 23 "circle" "cor"
0.022 24 "circle" "cor"
0.024 25 "circle" "cor"
0.012 26 "circle" "cor"
0.018 27 "circle" "cor"
0.028 28 "circle" "cor"
0.046 29 "circle" "cor"
0.024 30 "circle" "cor"
1 1 "step" "cor"
1 2 "step" "cor"
0.998 3 "step" "cor"
0.97 4 "step" "cor"
0.834 5 "step" "cor"
0.742 6 "step" "cor"
0.666 7 "step" "cor"
0.52 8 "step" "cor"
0.434 9 "step" "cor"
0.45 10 "step" "cor"
0.258 11 "step" "cor"
0.254 12 "step" "cor"
0.268 13 "step" "cor"
0.208 14 "step" "cor"
0.214 15 "step" "cor"
0.138 16 "step" "cor"
0.168 17 "step" "cor"
0.126 18 "step" "cor"
0.114 19 "step" "cor"
0.114 20 "step" "cor"
0.114 21 "step" "cor"
0.082 22 "step" "cor"
0.088 23 "step" "cor"
0.12 24 "step" "cor"
0.07 25 "step" "cor"
0.076 26 "step" "cor"
0.084 27 "step" "cor"
0.056 28 "step" "cor"
0.088 29 "step" "cor"
0.09 30 "step" "cor"
0.122 1 "cross" "cor"
0.138 2 "cross" "cor"
0.132 3 "cross" "cor"
0.158 4 "cross" "cor"
0.114 5 "cross" "cor"
0.11 6 "cross" "cor"
0.128 7 "cross" "cor"
0.158 8 "cross" "cor"
0.148 9 "cross" "cor"
0.136 10 "cross" "cor"
0.124 11 "cross" "cor"
0.076 12 "cross" "cor"
0.092 13 "cross" "cor"
0.074 14 "cross" "cor"
0.136 15 "cross" "cor"
0.078 16 "cross" "cor"
0.046 17 "cross" "cor"
0.092 18 "cross" "cor"
0.104 19 "cross" "cor"
0.052 20 "cross" "cor"
0.092 21 "cross" "cor"
0.056 22 "cross" "cor"
0.096 23 "cross" "cor"
0.108 24 "cross" "cor"
0.08 25 "cross" "cor"
0.042 26 "cross" "cor"
0.05 27 "cross" "cor"
0.044 28 "cross" "cor"
0.052 29 "cross" "cor"
0.03 30 "cross" "cor"
0.178 1 "clusters" "cor"
0.16 2 "clusters" "cor"
0.16 3 "clusters" "cor"
0.174 4 "clusters" "cor"
0.122 5 "clusters" "cor"
0.18 6 "clusters" "cor"
0.142 7 "clusters" "cor"
0.132 8 "clusters" "cor"
0.148 9 "clusters" "cor"
0.152 10 "clusters" "cor"
0.134 11 "clusters" "cor"
0.13 12 "clusters" "cor"
0.106 13 "clusters" "cor"
0.148 14 "clusters" "cor"
0.08 15 "clusters" "cor"
0.082 16 "clusters" "cor"
0.078 17 "clusters" "cor"
0.078 18 "clusters" "cor"
0.076 19 "clusters" "cor"
0.102 20 "clusters" "cor"
0.102 21 "clusters" "cor"
0.076 22 "clusters" "cor"
0.08 23 "clusters" "cor"
0.092 24 "clusters" "cor"
0.062 25 "clusters" "cor"
0.044 26 "clusters" "cor"
0.056 27 "clusters" "cor"
0.054 28 "clusters" "cor"
0.086 29 "clusters" "cor"
0.054 30 "clusters" "cor"
0.192 1 "two parabola" "cor"
0.146 2 "two parabola" "cor"
0.21 3 "two parabola" "cor"
0.186 4 "two parabola" "cor"
0.158 5 "two parabola" "cor"
0.162 6 "two parabola" "cor"
0.17 7 "two parabola" "cor"
0.132 8 "two parabola" "cor"
0.114 9 "two parabola" "cor"
0.096 10 "two parabola" "cor"
0.084 11 "two parabola" "cor"
0.084 12 "two parabola" "cor"
0.132 13 "two parabola" "cor"
0.086 14 "two parabola" "cor"
0.104 15 "two parabola" "cor"
0.092 16 "two parabola" "cor"
0.068 17 "two parabola" "cor"
0.068 18 "two parabola" "cor"
0.062 19 "two parabola" "cor"
0.074 20 "two parabola" "cor"
0.052 21 "two parabola" "cor"
0.074 22 "two parabola" "cor"
0.062 23 "two parabola" "cor"
0.05 24 "two parabola" "cor"
0.062 25 "two parabola" "cor"
0.07 26 "two parabola" "cor"
0.044 27 "two parabola" "cor"
0.082 28 "two parabola" "cor"
0.046 29 "two parabola" "cor"
0.05 30 "two parabola" "cor"
0.356 1 "spiral" "cor"
0.334 2 "spiral" "cor"
0.352 3 "spiral" "cor"
0.414 4 "spiral" "cor"
0.32 5 "spiral" "cor"
0.294 6 "spiral" "cor"
0.238 7 "spiral" "cor"
0.302 8 "spiral" "cor"
0.336 9 "spiral" "cor"
0.26 10 "spiral" "cor"
0.298 11 "spiral" "cor"
0.27 12 "spiral" "cor"
0.27 13 "spiral" "cor"
0.28 14 "spiral" "cor"
0.208 15 "spiral" "cor"
0.206 16 "spiral" "cor"
0.19 17 "spiral" "cor"
0.198 18 "spiral" "cor"
0.154 19 "spiral" "cor"
0.178 20 "spiral" "cor"
0.222 21 "spiral" "cor"
0.132 22 "spiral" "cor"
0.116 23 "spiral" "cor"
0.134 24 "spiral" "cor"
0.14 25 "spiral" "cor"
0.136 26 "spiral" "cor"
0.128 27 "spiral" "cor"
0.138 28 "spiral" "cor"
0.096 29 "spiral" "cor"
0.104 30 "spiral" "cor"
1 1 "linear" "dcor"
1 2 "linear" "dcor"
1 3 "linear" "dcor"
1 4 "linear" "dcor"
1 5 "linear" "dcor"
1 6 "linear" "dcor"
1 7 "linear" "dcor"
1 8 "linear" "dcor"
1 9 "linear" "dcor"
1 10 "linear" "dcor"
0.99 11 "linear" "dcor"
0.972 12 "linear" "dcor"
0.96 13 "linear" "dcor"
0.952 14 "linear" "dcor"
0.918 15 "linear" "dcor"
0.888 16 "linear" "dcor"
0.856 17 "linear" "dcor"
0.792 18 "linear" "dcor"
0.756 19 "linear" "dcor"
0.73 20 "linear" "dcor"
0.606 21 "linear" "dcor"
0.59 22 "linear" "dcor"
0.624 23 "linear" "dcor"
0.59 24 "linear" "dcor"
0.51 25 "linear" "dcor"
0.44 26 "linear" "dcor"
0.38 27 "linear" "dcor"
0.43 28 "linear" "dcor"
0.354 29 "linear" "dcor"
0.396 30 "linear" "dcor"
1 1 "quadratic" "dcor"
1 2 "quadratic" "dcor"
1 3 "quadratic" "dcor"
1 4 "quadratic" "dcor"
1 5 "quadratic" "dcor"
1 6 "quadratic" "dcor"
1 7 "quadratic" "dcor"
0.992 8 "quadratic" "dcor"
0.926 9 "quadratic" "dcor"
0.834 10 "quadratic" "dcor"
0.764 11 "quadratic" "dcor"
0.644 12 "quadratic" "dcor"
0.454 13 "quadratic" "dcor"
0.46 14 "quadratic" "dcor"
0.43 15 "quadratic" "dcor"
0.33 16 "quadratic" "dcor"
0.342 17 "quadratic" "dcor"
0.346 18 "quadratic" "dcor"
0.218 19 "quadratic" "dcor"
0.21 20 "quadratic" "dcor"
0.164 21 "quadratic" "dcor"
0.22 22 "quadratic" "dcor"
0.156 23 "quadratic" "dcor"
0.13 24 "quadratic" "dcor"
0.11 25 "quadratic" "dcor"
0.098 26 "quadratic" "dcor"
0.12 27 "quadratic" "dcor"
0.09 28 "quadratic" "dcor"
0.122 29 "quadratic" "dcor"
0.106 30 "quadratic" "dcor"
1 1 "cubic" "dcor"
1 2 "cubic" "dcor"
1 3 "cubic" "dcor"
1 4 "cubic" "dcor"
1 5 "cubic" "dcor"
1 6 "cubic" "dcor"
1 7 "cubic" "dcor"
1 8 "cubic" "dcor"
1 9 "cubic" "dcor"
0.99 10 "cubic" "dcor"
0.938 11 "cubic" "dcor"
0.95 12 "cubic" "dcor"
0.932 13 "cubic" "dcor"
0.862 14 "cubic" "dcor"
0.836 15 "cubic" "dcor"
0.682 16 "cubic" "dcor"
0.71 17 "cubic" "dcor"
0.51 18 "cubic" "dcor"
0.592 19 "cubic" "dcor"
0.582 20 "cubic" "dcor"
0.44 21 "cubic" "dcor"
0.438 22 "cubic" "dcor"
0.484 23 "cubic" "dcor"
0.334 24 "cubic" "dcor"
0.308 25 "cubic" "dcor"
0.268 26 "cubic" "dcor"
0.3 27 "cubic" "dcor"
0.24 28 "cubic" "dcor"
0.3 29 "cubic" "dcor"
0.192 30 "cubic" "dcor"
1 1 "sine period 1/2" "dcor"
1 2 "sine period 1/2" "dcor"
1 3 "sine period 1/2" "dcor"
1 4 "sine period 1/2" "dcor"
1 5 "sine period 1/2" "dcor"
1 6 "sine period 1/2" "dcor"
0.998 7 "sine period 1/2" "dcor"
0.95 8 "sine period 1/2" "dcor"
0.9 9 "sine period 1/2" "dcor"
0.79 10 "sine period 1/2" "dcor"
0.622 11 "sine period 1/2" "dcor"
0.576 12 "sine period 1/2" "dcor"
0.444 13 "sine period 1/2" "dcor"
0.5 14 "sine period 1/2" "dcor"
