"power" "noise" "d_type" "method"
0.948 7 "exp" "S_ADP"
0.872 8 "exp" "S_ADP"
0.778 9 "exp" "S_ADP"
0.696 10 "exp" "S_ADP"
0.59 11 "exp" "S_ADP"
0.536 12 "exp" "S_ADP"
0.488 13 "exp" "S_ADP"
0.382 14 "exp" "S_ADP"
0.38 15 "exp" "S_ADP"
0.3 16 "exp" "S_ADP"
0.274 17 "exp" "S_ADP"
0.252 18 "exp" "S_ADP"
0.212 19 "exp" "S_ADP"
0.226 20 "exp" "S_ADP"
0.182 21 "exp" "S_ADP"
0.172 22 "exp" "S_ADP"
0.166 23 "exp" "S_ADP"
0.15 24 "exp" "S_ADP"
0.148 25 "exp" "S_ADP"
0.118 26 "exp" "S_ADP"
0.12 27 "exp" "S_ADP"
0.14 28 "exp" "S_ADP"
0.092 29 "exp" "S_ADP"
0.114 30 "exp" "S_ADP"
1 1 "log" "S_ADP"
1 2 "log" "S_ADP"
1 3 "log" "S_ADP"
1 4 "log" "S_ADP"
1 5 "log" "S_ADP"
1 6 "log" "S_ADP"
1 7 "log" "S_ADP"
1 8 "log" "S_ADP"
1 9 "log" "S_ADP"
0.992 10 "log" "S_ADP"
0.992 11 "log" "S_ADP"
0.976 12 "log" "S_ADP"
0.954 13 "log" "S_ADP"
0.918 14 "log" "S_ADP"
0.9 15 "log" "S_ADP"
0.812 16 "log" "S_ADP"
0.804 17 "log" "S_ADP"
0.742 18 "log" "S_ADP"
0.65 19 "log" "S_ADP"
0.646 20 "log" "S_ADP"
0.54 21 "log" "S_ADP"
0.518 22 "log" "S_ADP"
0.508 23 "log" "S_ADP"
0.438 24 "log" "S_ADP"
0.426 25 "log" "S_ADP"
0.418 26 "log" "S_ADP"
0.366 27 "log" "S_ADP"
0.342 28 "log" "S_ADP"
0.32 29 "log" "S_ADP"
0.342 30 "log" "S_ADP"
1 1 "exp" "dHSIC"
1 2 "exp" "dHSIC"
1 3 "exp" "dHSIC"
1 4 "exp" "dHSIC"
0.996 5 "exp" "dHSIC"
0.966 6 "exp" "dHSIC"
0.872 7 "exp" "dHSIC"
0.742 8 "exp" "dHSIC"
0.668 9 "exp" "dHSIC"
0.508 10 "exp" "dHSIC"
0.44 11 "exp" "dHSIC"
0.376 12 "exp" "dHSIC"
0.31 13 "exp" "dHSIC"
0.38 14 "exp" "dHSIC"
0.334 15 "exp" "dHSIC"
0.246 16 "exp" "dHSIC"
0.238 17 "exp" "dHSIC"
0.256 18 "exp" "dHSIC"
0.146 19 "exp" "dHSIC"
0.184 20 "exp" "dHSIC"
0.152 21 "exp" "dHSIC"
0.084 22 "exp" "dHSIC"
0.128 23 "exp" "dHSIC"
0.166 24 "exp" "dHSIC"
0.106 25 "exp" "dHSIC"
0.134 26 "exp" "dHSIC"
0.086 27 "exp" "dHSIC"
0.112 28 "exp" "dHSIC"
0.048 29 "exp" "dHSIC"
0.11 30 "exp" "dHSIC"
1 1 "log" "dHSIC"
1 2 "log" "dHSIC"
1 3 "log" "dHSIC"
1 4 "log" "dHSIC"
1 5 "log" "dHSIC"
1 6 "log" "dHSIC"
1 7 "log" "dHSIC"
0.994 8 "log" "dHSIC"
0.992 9 "log" "dHSIC"
0.95 10 "log" "dHSIC"
0.952 11 "log" "dHSIC"
0.86 12 "log" "dHSIC"
0.82 13 "log" "dHSIC"
0.756 14 "log" "dHSIC"
0.748 15 "log" "dHSIC"
0.574 16 "log" "dHSIC"
0.588 17 "log" "dHSIC"
0.57 18 "log" "dHSIC"
0.494 19 "log" "dHSIC"
0.464 20 "log" "dHSIC"
0.406 21 "log" "dHSIC"
0.406 22 "log" "dHSIC"
0.336 23 "log" "dHSIC"
0.316 24 "log" "dHSIC"
0.252 25 "log" "dHSIC"
0.236 26 "log" "dHSIC"
0.194 27 "log" "dHSIC"
0.208 28 "log" "dHSIC"
0.152 29 "log" "dHSIC"
0.208 30 "log" "dHSIC"
1 1 "exp" "SIT"
1 2 "exp" "SIT"
